Classifier,Confusion Matrix,Precision,Recall,Accuracy,F1,AUROC,AUPRC,Training times (s),Testing times(s)
Gaussian NB RandomUnderSampling,"[[538495  13976]
 [   798    813]]",0.054973291,0.504655493,0.099146341,0.973336077,0.739679119,0.029182793,0.002041578,0.088000059
Logistic Regression RandomUnderSampling,"[[485137  67334]
 [    49   1562]]",0.022671853,0.969584109,0.044307657,0.878388036,0.923853109,0.022070703,0.043610096,0.013999701
KNN RandomUnderSampling,"[[521540  30931]
 [    70   1541]]",0.04745627,0.956548727,0.090426312,0.944049798,0.950281039,0.04552057,0.017988443,12.18843341
Decision Tree RandomUnderSampling,"[[543802   8669]
 [    20   1591]]",0.155068226,0.987585351,0.268048185,0.984318206,0.985947015,0.153179204,0.029043198,0.037015676
Random Forest RandomUnderSampling,"[[542912   9559]
 [    11   1600]]",0.143382023,0.993171943,0.250587314,0.982728188,0.987934839,0.142422855,1.165222883,4.231618881
XGBoost RandomUnderSampling,"[[545624   6847]
 [     5   1606]]",0.189991719,0.996896338,0.319157393,0.987633599,0.992251463,0.189411073,0.45250392,0.11599946
Gaussian NB RandomOverSampling,"[[539717  12754]
 [   827    784]]",0.057911065,0.486654252,0.103505182,0.975489188,0.731784439,0.029675225,0.971181154,0.090957165
Logistic Regression RandomOverSampling,"[[485182  67289]
 [    49   1562]]",0.022686671,0.969584109,0.044335954,0.878469252,0.923893836,0.02208507,13.04142094,0.015999079
KNN RandomOverSampling,"[[551375   1096]
 [   230   1381]]",0.557529269,0.857231533,0.675636008,0.997606852,0.927623859,0.478346771,22.40742469,19.05452299
Decision Tree RandomOverSampling,"[[552292    179]
 [   209   1402]]",0.886780519,0.870266915,0.878446115,0.999299743,0.934971458,0.772112947,24.91350937,0.03500104
Random Forest RandomOverSampling,"[[552411     60]
 [   242   1369]]",0.958012596,0.849782744,0.900657895,0.999454954,0.92483707,0.814539331,982.6779182,5.174793243
XGBoost RandomOverSampling,"[[551086   1385]
 [    18   1593]]",0.534922767,0.988826816,0.694268904,0.997467884,0.993159948,0.528978462,77.64491773,0.156501532
Gaussian NB TomekLink,"[[544512   7959]
 [   925    686]]",0.079352227,0.425822471,0.133775351,0.983966272,0.705708142,0.035459389,0.417285204,0.136052608
Logistic Regression TomekLink,"[[552277    194]
 [   733    878]]",0.819029851,0.545003104,0.654491241,0.998326962,0.772325977,0.44769672,10.47376251,0.013928175
KNN TomekLink,"[[552294    177]
 [   365   1246]]",0.875614898,0.773432651,0.821357943,0.999021805,0.886556136,0.677887899,10.38647532,20.24749327
Decision Tree TomekLink,"[[552271    200]
 [   164   1447]]",0.878567092,0.898199876,0.888275015,0.999343058,0.948918933,0.789424838,39.35247517,0.044352531
Random Forest TomekLink,"[[552436     35]
 [   285   1326]]",0.974283615,0.823091248,0.892328398,0.999422468,0.911513948,0.802438681,897.2029886,5.488076448
XGBoost TomekLink,"[[552415     56]
 [   205   1406]]",0.961696306,0.872749845,0.91506671,0.999528951,0.936324241,0.839690284,97.95427418,0.176999807
Gaussian NB ENN,"[[544133   8338]
 [   917    694]]",0.07683791,0.43078833,0.130414357,0.983296696,0.707848068,0.034755864,0.494653702,0.138999939
Logistic Regression ENN,"[[552258    213]
 [   720    891]]",0.807065217,0.553072626,0.656353591,0.998316134,0.776343543,0.447665126,11.72779775,0.015009165
KNN ENN,"[[552174    297]
 [   320   1291]]",0.812972292,0.801365611,0.807127227,0.998886446,0.900414013,0.65206557,10.32554054,18.38751411
Decision Tree ENN,"[[552247    224]
 [   152   1459]]",0.866904337,0.905648665,0.885853066,0.9993214,0.952621607,0.785385084,21.68641353,0.042991638
Random Forest ENN,"[[552426     45]
 [   275   1336]]",0.967414917,0.829298572,0.893048128,0.999422468,0.91460856,0.802772126,879.4821482,5.36145854
XGBoost ENN,"[[552401     70]
 [   180   1431]]",0.953364424,0.888268156,0.91966581,0.999548803,0.944070726,0.847168121,105.4810128,0.148999214
Gaussian NB SMOTE,"[[539687  12784]
 [   822    789]]",0.058130111,0.489757914,0.103925184,0.975444068,0.733309119,0.029953217,0.897551537,0.126001358
Logistic Regression SMOTE,"[[501099  51372]
 [    50   1561]]",0.02949011,0.968963377,0.057238193,0.907194242,0.93798875,0.028665076,12.76459837,0.014045238
KNN SMOTE,"[[547624   4847]
 [   115   1496]]",0.235850544,0.928615767,0.376162937,0.991044647,0.959921228,0.219222084,22.66054511,19.51871705
Decision Tree SMOTE,"[[551945    526]
 [    90   1521]]",0.743038593,0.944134078,0.831601968,0.998888251,0.971590996,0.701690488,42.53162408,0.049679756
Random Forest SMOTE,"[[551982    489]
 [   116   1495]]",0.753528226,0.927995034,0.831710709,0.998908104,0.96355496,0.699479807,1506.531635,5.615334988
XGBoost SMOTE,"[[552210    261]
 [   173   1438]]",0.846380224,0.892613284,0.868882175,0.999216722,0.94607043,0.755802459,87.66842771,0.155531168
Gaussian NB SMOTETomek,"[[539723  12748]
 [   821    790]]",0.058354262,0.490378647,0.104297313,0.975510845,0.733652066,0.030097414,1.065267324,0.133999825
Logistic Regression SMOTETomek,"[[500447  52024]
 [    51   1560]]",0.029113168,0.968342644,0.056526859,0.906015716,0.937088308,0.028283566,12.87694287,0.019701004
KNN SMOTETomek,"[[547649   4822]
 [   116   1495]]",0.236662973,0.927995034,0.377144299,0.991087962,0.959633487,0.219831419,24.98660684,21.59761429
Decision Tree SMOTETomek,"[[551920    551]
 [    83   1528]]",0.734968735,0.948479205,0.828184282,0.998855765,0.973740934,0.697252359,45.26862216,0.05369401
Random Forest SMOTETomek,"[[551975    496]
 [   112   1499]]",0.751378446,0.930477964,0.831392124,0.998902689,0.96479009,0.699343223,1511.124369,5.432298899
XGBoost SMOTETomek,"[[552225    246]
 [   172   1439]]",0.854005935,0.893234016,0.873179612,0.999245599,0.946394372,0.763137574,82.48155785,0.14800024
Gaussian NB SMOTEENN,"[[539364  13107]
 [   812    799]]",0.057457213,0.495965239,0.97487917,0.102983824,0.736120458,0.029962267,0.849520922,0.090000629
Logistic Regression SMOTEENN,"[[501303  51168]
 [    51   1560]]",0.029585799,0.968342644,0.907560614,0.057417325,0.937863009,0.028741235,10.6100409,0.013999462
KNN SMOTEENN,"[[546561   5910]
 [   105   1506]]",0.203074434,0.934823091,0.989144206,0.33366567,0.962062849,0.190028172,22.81450224,19.33597803
Decision Tree SMOTEENN,"[[551705    766]
 [    63   1548]]",0.668971478,0.960893855,0.998503832,0.788789809,0.979753678,0.642924284,43.89380622,0.045227289
Random Forest SMOTEENN,"[[551754    717]
 [    87   1524]]",0.680053548,0.945996276,0.998548951,0.791277259,0.972349235,0.64348514,1479.03556,5.653786659
XGBoost SMOTEENN,"[[552038    433]
 [   123   1488]]",0.774596564,0.923649907,0.998996538,0.842582106,0.961433078,0.715678033,102.5199611,0.143999338
