XGBoost + ENN params,Precision,Recall,Accuracy,F1,AUROC,AUPRC,Training time (s),Testing time (s)
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.969924124,0.654347372,0.998907749,0.781459485,0.827143305,0.635712868,549.0552541,3.440350485
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.973036656,0.655256348,0.99891679,0.783112015,0.827600968,0.638610381,1078.288799,3.528791237
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400}",0.973614954,0.686913151,0.999009921,0.805500472,0.843428689,0.669718547,2132.010794,4.270296955
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.971517251,0.699636065,0.99904202,0.813397916,0.849787198,0.680561119,941.2566327,3.607771349
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.976533687,0.698879751,0.999051061,0.814677859,0.84941471,0.683377186,1861.640121,4.313336658
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400}",0.985918397,0.740985479,0.999195278,0.846054725,0.870476869,0.731311088,3705.384615,6.064444208
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.981848675,0.729628151,0.999152782,0.837138534,0.864793897,0.717204666,1299.579974,3.664247894
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.980717041,0.754618746,0.999223308,0.852927666,0.877287154,0.740808874,2584.117565,5.283831501
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400}",0.987152366,0.791424655,0.999346729,0.878490266,0.895696911,0.781880433,5312.58797,8.415909815
"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.984374553,0.819597412,0.99942268,0.894433057,0.909779208,0.807329678,506.137155,2.941904402
"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}",0.984320868,0.842620145,0.999490042,0.907920173,0.921289894,0.829851559,1014.168474,3.475292015
"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 400}",0.983079135,0.860342945,0.999538867,0.917590244,0.930149254,0.846193267,2060.016281,4.688035488
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.984024977,0.848073888,0.999505413,0.910974253,0.924016312,0.834975998,897.8292729,3.581301546
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.98271739,0.869280389,0.999564184,0.922510761,0.934617296,0.854652411,1826.43627,4.632631922
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 400}",0.977088854,0.884730691,0.999594022,0.928602487,0.942334284,0.864805751,3634.838379,6.824050856
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",0.982174409,0.867311954,0.999556951,0.921158955,0.933632398,0.852242011,1308.534123,4.038005686
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",0.976577077,0.884428463,0.999591762,0.928210139,0.942182491,0.864070828,2604.907305,5.656189394
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 400}",0.973881126,0.890942009,0.999603064,0.930542215,0.945435182,0.867977696,5164.407917,8.723865461
"{'learning_rate': 0.8, 'max_depth': 3, 'n_estimators': 100}",0.973202215,0.867612231,0.999533442,0.917326777,0.933770294,0.844737955,521.558522,2.790021944
"{'learning_rate': 0.8, 'max_depth': 3, 'n_estimators': 200}",0.968434838,0.881700732,0.99956102,0.922999993,0.940807289,0.854205103,1054.621229,3.528178501
"{'learning_rate': 0.8, 'max_depth': 3, 'n_estimators': 400}",0.965797748,0.892910215,0.999585885,0.927893321,0.946407723,0.862670084,2127.925272,4.388073158
"{'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 100}",0.961131681,0.887611084,0.999557403,0.922888974,0.943751809,0.853452552,933.9081209,3.274828386
"{'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 200}",0.960871148,0.892456931,0.999570514,0.925375607,0.946174052,0.857854366,1862.685328,4.957804537
"{'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 400}",0.964429801,0.894880141,0.999587693,0.928328404,0.947390645,0.863366489,3582.710476,5.696991158
"{'learning_rate': 0.8, 'max_depth': 7, 'n_estimators': 100}",0.957557885,0.891850182,0.999559211,0.923518806,0.945865917,0.854327853,1345.667266,3.909128332
"{'learning_rate': 0.8, 'max_depth': 7, 'n_estimators': 200}",0.960763109,0.893213475,0.999572322,0.925731757,0.946552097,0.858475729,2420.876297,3.970690107
"{'learning_rate': 0.8, 'max_depth': 7, 'n_estimators': 400}",0.960184695,0.894576652,0.999574583,0.926197623,0.947232779,0.859269967,3014.744747,4.796066952
