XGBoost + SMOTEENN params,Precision,Recall,Accuracy,F1,AUROC,AUPRC,Training time (s),Testing time (s)
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.916644245,0.967587572,0.939572337,0.941426938,0.939466377,0.903200619,1074.675651,7.142725992
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.95274775,0.981653111,0.966357267,0.966984399,0.966299414,0.944475747,2176.346819,8.486030197
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400}",0.968381365,0.984699814,0.976184698,0.976472353,0.976152492,0.961243816,4361.160285,11.50576568
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.969157247,0.99738556,0.98275749,0.983068798,0.982702164,0.967935591,2070.102005,7.403434706
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.974084796,0.997853656,0.985598954,0.985825962,0.985552604,0.973071294,4143.541615,10.2326715
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400}",0.982911666,0.997722117,0.99015117,0.990261514,0.990122535,0.98181594,7726.128716,13.39203978
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.981770407,0.997733003,0.989564301,0.989687329,0.989533405,0.980682512,2998.481696,7.811689234
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.985883317,0.998260064,0.991952752,0.99203303,0.991928896,0.985041193,5634.191381,12.61864977
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400}",0.990959429,0.998388428,0.99461984,0.994660054,0.994605586,0.990171249,11363.29668,22.43749857
"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.994315158,0.997841409,0.99605332,0.996075108,0.996046557,0.993252153,961.2443678,5.819339991
"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}",0.998973821,0.997441351,0.998201605,0.998206896,0.998204481,0.997701914,1963.466303,7.018083334
"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 400}",0.999432998,0.999311918,0.999370107,0.999372367,0.999370327,0.999090607,3956.43711,9.061487627
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.999116079,0.999190812,0.999150202,0.999153383,0.999150048,0.998713692,1839.243124,6.946249914
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.999638091,0.999682494,0.999658988,0.999660209,0.999658899,0.999480022,3586.898823,8.975039625
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 400}",0.999814945,0.999692472,0.999752778,0.999753603,0.999753006,0.999661791,7092.033842,13.56567383
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",0.999609997,0.999742366,0.999674923,0.999676122,0.999674668,0.999481744,2691.059327,8.233197975
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",0.999809957,0.999700183,0.999754144,0.999754968,0.999754348,0.999660644,5327.806761,11.16548195
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 400}",0.999851686,0.999665711,0.999757786,0.999758565,0.999758134,0.999685189,10502.24182,18.10137892
"{'learning_rate': 0.8, 'max_depth': 3, 'n_estimators': 100}",0.991847662,0.996440752,0.99406143,0.994125774,0.994052433,0.990149914,982.4961165,6.162953377
"{'learning_rate': 0.8, 'max_depth': 3, 'n_estimators': 200}",0.995251841,0.997578333,0.996381131,0.996408812,0.996376603,0.994072446,1977.14453,7.398437548
"{'learning_rate': 0.8, 'max_depth': 3, 'n_estimators': 400}",0.933800174,0.913971188,0.928495121,0.92295122,0.928550065,0.916974165,3827.22836,8.927111626
"{'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 100}",0.997397095,0.996790464,0.997087741,0.997092909,0.997088865,0.995836169,1851.88067,7.074794483
"{'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 200}",0.997720475,0.997512564,0.997609503,0.997616337,0.997609869,0.996507542,3566.92514,8.8068295
"{'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 400}",0.995711018,0.995831595,0.995755564,0.9957713,0.995755277,0.993720791,6730.095107,12.02389722
"{'learning_rate': 0.8, 'max_depth': 7, 'n_estimators': 100}",0.999778672,0.999650289,0.999713395,0.999714353,0.999713634,0.99960451,2691.399229,8.187026262
"{'learning_rate': 0.8, 'max_depth': 7, 'n_estimators': 200}",0.999812228,0.999649382,0.999729786,0.999730673,0.99973009,0.999637609,4615.807442,7.630363941
"{'learning_rate': 0.8, 'max_depth': 7, 'n_estimators': 400}",0.999824924,0.999646661,0.999734794,0.999735655,0.999735127,0.999648948,5554.170893,9.386307621
