XGBoost + SMOTETomek params,Precision,Recall,Accuracy,F1,AUROC,AUPRC,Training time (s),Testing time (s)
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.9155212573841911,0.9661469874807642,0.9384940901728317,0.940151345159193,0.938494089364597,0.9014554693740026,1079.2794633865356,6.981373405456543
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.9520816651375904,0.9703203860411111,0.9607420309927548,0.9611144978629739,0.9607420309594336,0.9386641038712048,2174.015967655182,8.316062641143798
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400}",0.9670776795076398,0.9797953001842297,0.9732189945834147,0.9733943189541158,0.9732189946520533,0.9576404203318756,4240.1654947757725,10.712609815597535
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.9658406133719695,0.9961122521133386,0.9804410701848928,0.9807428732938461,0.9804410701777101,0.9640295403758499,2001.8013989925385,7.377517509460449
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.9708208365400525,0.9973924743748144,0.9837072672644803,0.9839271734675356,0.9837072670767022,0.969593080013742,3856.6702859401703,9.04052963256836
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400}",0.9804453682277183,0.9978723317568955,0.9889850162334568,0.9890820674089392,0.9889850161566015,0.9794231326673895,7526.104498481751,17.609592056274415
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.9799447200539207,0.996707546797573,0.988154546696347,0.9882549480267567,0.988154546659709,0.9783644787299067,2798.708027648926,7.53036208152771
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.9830750952481578,0.9975106281516739,0.9901685883191831,0.9902402428788644,0.9901685882574421,0.9818725373244892,5598.615148925781,13.214752674102783
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400}",0.9885473362721411,0.9980470721753807,0.9932421635339879,0.9932744829381639,0.9932421634783963,0.9875932363768953,11394.178517007827,31.425626230239867
"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.9942142268038892,0.996870969513116,0.9955346128293797,0.9955405869645382,0.9955346126339227,0.9926676052550885,963.708600473404,6.272768878936768
"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}",0.9989295283125526,0.9964205375842585,0.9976763147992795,0.9976731846465501,0.9976763145653986,0.9971435300761893,1990.606645011902,7.735569286346435
"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 400}",0.9993320111117425,0.9988940650044335,0.9991131698529433,0.9991128717720785,0.9991131696462168,0.9987797552201787,3989.1764163017274,9.227881526947021
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.9990566258726385,0.9986115831639154,0.9988343095319465,0.9988339315187222,0.9988343093477624,0.9983637186074436,1848.7382057666778,7.0720795631408695
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.9995799147460456,0.9995531894963946,0.9995665442792199,0.9995664275169747,0.9995665440783853,0.9993566716259987,3622.520177268982,8.676128149032593
"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 400}",0.9997342749837921,0.9996238099816284,0.9996790390982992,0.9996788872275536,0.9996790388782524,0.9995462454842523,7181.957895517349,14.357776021957397
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",0.9995152448979786,0.9995871416666293,0.9995511526363028,0.9995510620896468,0.9995511524334189,0.9993089740735404,2699.0564180374145,8.583709192276
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",0.9997582746923712,0.9996066075466737,0.9996824343171673,0.9996822622323025,0.9996824340817504,0.9995616264915294,5402.833970975876,13.167323207855224
"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 400}",0.9997962986962614,0.9995916685916475,0.9996939780551187,0.999693782847826,0.9996939778097114,0.9995921664463527,10788.407780313491,19.996715784072876
"{'learning_rate': 0.8, 'max_depth': 3, 'n_estimators': 100}",0.9957253496359411,0.9928288502997047,0.994279967561563,0.9942674797492067,0.9942799660801519,0.9921703411278241,980.1492241382599,6.099298143386841
"{'learning_rate': 0.8, 'max_depth': 3, 'n_estimators': 200}",0.9918903083568044,0.9954001604376488,0.9936018310517151,0.993630864376498,0.9936018329296636,0.9896464772856696,1989.423949098587,7.173903608322144
"{'learning_rate': 0.8, 'max_depth': 3, 'n_estimators': 400}",0.9966442810796877,0.9956744938203069,0.9961615956298517,0.9961589577429087,0.996161595323988,0.9944999437986042,3951.7257467269897,9.215504550933838
"{'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 100}",0.9919629959057994,0.9974219036182703,0.9945805608872668,0.994652646458744,0.9945805574215898,0.9907581506604528,1869.8324165344238,7.190677070617676
"{'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 200}",0.9981399246225953,0.9984544998556115,0.9982951502592894,0.9982966953886823,0.9982951497561772,0.9973763738122857,3549.8068121910096,9.098432064056396
"{'learning_rate': 0.8, 'max_depth': 5, 'n_estimators': 400}",0.9984230455562481,0.9982489765160724,0.9983358928211498,0.998335799684981,0.9983358925813764,0.9975565627660983,6686.620748472214,11.633477258682252
"{'learning_rate': 0.8, 'max_depth': 7, 'n_estimators': 100}",0.9976757480010348,0.9977188669955621,0.9976960061415449,0.9976968090352842,0.9976960058940882,0.9965453564061144,2659.9374311447145,8.076874160766602
"{'learning_rate': 0.8, 'max_depth': 7, 'n_estimators': 200}",0.9975633158702081,0.9976025242305306,0.9975819268502939,0.9975826668451742,0.9975819266069358,0.9963777792481914,4572.106740045548,7.629128885269165
"{'learning_rate': 0.8, 'max_depth': 7, 'n_estimators': 400}",0.9972511227557842,0.9972331246406728,0.9972410470819678,0.9972418720496876,0.9972410468327182,0.9958863972601654,5503.7092157840725,8.725645971298217
